Date & Time,ETD
2009-01-18 22:00:00,1563.0
2009-02-01 13:00:00,1549.0
2009-05-17 23:00:00,1444.0
2009-07-31 13:00:00,1369.0
2009-08-08 21:00:00,1361.0
2009-08-08 22:00:00,1361.0
2009-08-19 14:00:00,1350.0
2009-09-18 16:00:00,1320.0
2009-11-05 17:00:00,1272.0
2009-12-14 21:00:00,1233.0
2010-02-09 08:00:00,1177.0
2010-04-03 21:00:00,1123.0
2010-07-01 19:00:00,1034.0
2010-07-13 21:00:00,1022.0
2010-08-05 15:00:00,999.0
2010-09-26 13:00:00,947.0
2011-06-27 16:00:00,673.0
2011-08-05 19:00:00,634.0
2011-08-08 16:00:00,631.0
2011-09-11 15:00:00,597.0
2012-01-21 15:00:00,465.0
2012-05-14 20:00:00,351.0
2012-11-05 18:00:00,176.0
2012-11-28 19:00:00,153.0
2012-11-29 19:00:00,152.0
2013-04-15 15:00:00,15.0
2013-04-21 19:00:00,9.0
2013-06-02 10:00:00,-32.0
2013-09-01 14:00:00,-124.0
2013-12-16 09:00:00,-229.0
2014-05-08 19:00:00,-373.0
